Year,Sector,Degree,Period,Reef,Depth2,Transect,Type,Quantity
2023,South,26°N,Before,29,Deep,1,Cold Water Corals,1
2010,South,25°N,Before,73,Deep,1,Cold Water Corals,2
2023,South,26°N,Before,34,Deep,1,Cold Water Corals,2
2009,South,27°N,After,74,Shallow,1,Cold Water Corals,3
2023,South,26°N,Before,84,Shallow,2,Cold Water Corals,1
2023,South,28°N,Before,80,Deep,4,Cold Water Corals,1
2023,South,28°N,Before,78,Shallow,2,Cold Water Corals,1
2023,North,29°N,Before,5,Deep,2,Cold Water Corals,1
2010,South,28°N,After,79,Shallow,4,Cold Water Corals,1
2009,North,29°N,After,5,Deep,2,Cold Water Corals,2
2010,North,30°N,Before,7,Deep,1,Cold Water Corals,1
2010,South,26°N,After,14,Deep,1,Cold Water Corals,1
2009,North,29°N,After,88,Deep,3,Cold Water Corals,2
2010,North,29°N,After,26,Deep,3,Cold Water Corals,1
2023,North,29°N,Before,13,Deep,3,Cold Water Corals,3
2009,South,26°N,After,31,Deep,5,Cold Water Corals,2
2009,North,29°N,After,88,Deep,3,Cold Water Corals,1
2009,South,25°N,Before,65,Deep,2,Cold Water Corals,1
2009,South,26°N,After,34,Shallow,1,Cold Water Corals,2
2023,South,25°N,Before,68,Shallow,4,Cold Water Corals,1
2023,South,26°N,Before,29,Shallow,4,Cold Water Corals,1
2023,North,29°N,Before,26,Shallow,1,Cold Water Corals,1
2009,North,30°N,Before,8,Shallow,3,Cold Water Corals,6
2009,South,25°N,Before,52,Deep,4,Cold Water Corals,2
2009,South,28°N,After,78,Deep,4,Cold Water Corals,1
2010,South,26°N,After,32,Deep,2,Cold Water Corals,1
2023,South,26°N,Before,84,Deep,3,Cold Water Corals,1
2010,North,30°N,Before,8,Deep,3,Cold Water Corals,8
2023,North,30°N,After,7,Shallow,2,Cold Water Corals,2
2023,South,26°N,Before,29,Deep,1,Cold Water Corals,1
2023,South,27°N,Before,70,Shallow,1,Cold Water Corals,1
2009,North,29°N,After,11,Deep,5,Cold Water Corals,1
2010,North,29°N,After,5,Deep,3,Cold Water Corals,3
2010,South,27°N,After,74,Deep,3,Cold Water Corals,1
2009,South,26°N,After,50,Deep,4,Cold Water Corals,2
2009,North,29°N,After,5,Shallow,5,Cold Water Corals,1
2023,South,25°N,Before,55,Shallow,2,Cold Water Corals,1
2023,South,26°N,Before,84,Deep,4,Cold Water Corals,1
2009,South,25°N,Before,73,Deep,3,Cold Water Corals,3
2010,North,29°N,After,11,Deep,2,Cold Water Corals,3
2023,South,28°N,Before,77,Deep,2,Cold Water Corals,4
2009,North,30°N,Before,8,Shallow,1,Cold Water Corals,3
2023,North,29°N,Before,67,Deep,1,Cold Water Corals,1
2010,South,27°N,After,74,Deep,1,Cold Water Corals,5
2010,North,29°N,After,5,Deep,3,Cold Water Corals,3
2010,South,28°N,After,79,Shallow,1,Cold Water Corals,1
2023,South,26°N,Before,82,Deep,4,Cold Water Corals,1
